symbol,A,Z,name,monoisotopic_mass,natural_abundance
n,1.0,0,neutron,1.00866491588,0.0
H,1.0,1,hydrogen,1.007825032,99.9885
H,2.0,1,hydrogen,2.014101778,0.0115
H,3.0,1,hydrogen,3.016049278,0.0
H,4.0,1,hydrogen,4.026431864,
H,5.0,1,hydrogen,5.035311489,
H,6.0,1,hydrogen,6.044955433,
He,3.0,2,helium,3.01602932,0.000137
He,4.0,2,helium,4.002603254,99.999863
He,5.0,2,helium,5.012057224,
He,6.0,2,helium,6.018885891,
He,7.0,2,helium,7.027990654,
He,8.0,2,helium,8.03393439,
He,9.0,2,helium,9.043946494,
He,10.0,2,helium,10.05278866,
Li,4.0,3,lithium,4.027185559,
Li,5.0,3,lithium,5.0125378,
Li,6.0,3,lithium,6.015122887,7.59
Li,7.0,3,lithium,7.016003437,92.41
Li,8.0,3,lithium,8.022486246,
Li,9.0,3,lithium,9.026790191,
Li,10.0,3,lithium,10.03548345,
Li,11.0,3,lithium,11.04372358,
Li,12.0,3,lithium,12.05251732,
Li,13.0,3,lithium,13.06263152,
Be,6.0,4,beryllium,6.019726411,
Be,7.0,4,beryllium,7.016928717,
Be,8.0,4,beryllium,8.005305102,
Be,9.0,4,beryllium,9.012183065,100.0
Be,10.0,4,beryllium,10.0135347,
Be,11.0,4,beryllium,11.02166108,
Be,12.0,4,beryllium,12.02692208,
Be,13.0,4,beryllium,13.03613451,
Be,14.0,4,beryllium,14.04289292,
Be,16.0,4,beryllium,16.06167204,
B,7.0,5,boron,7.029712,
B,8.0,5,boron,8.024607326,
B,9.0,5,boron,9.013329649,
B,10.0,5,boron,10.01293695,19.9
B,11.0,5,boron,11.00930536,80.1
B,12.0,5,boron,12.01435266,
B,13.0,5,boron,13.01778017,
B,14.0,5,boron,14.02540401,
B,15.0,5,boron,15.03108768,
B,16.0,5,boron,16.03984166,
B,17.0,5,boron,17.04698991,
B,18.0,5,boron,18.05566019,
C,8.0,6,carbon,8.037643042,
C,9.0,6,carbon,9.031037204,
C,10.0,6,carbon,10.01685331,
C,11.0,6,carbon,11.01143356,
C,12.0,6,carbon,12.0,98.93
C,13.0,6,carbon,13.00335484,1.07
C,14.0,6,carbon,14.00324199,0.0
C,15.0,6,carbon,15.01059926,
C,16.0,6,carbon,16.01470125,
C,17.0,6,carbon,17.02257747,
C,18.0,6,carbon,18.02675071,
C,19.0,6,carbon,19.03479637,
C,20.0,6,carbon,20.04031975,
C,22.0,6,carbon,22.0575315,
N,10.0,7,nitrogen,10.04165363,
N,11.0,7,nitrogen,11.02609103,
N,12.0,7,nitrogen,12.01861319,
N,13.0,7,nitrogen,13.00573861,
N,14.0,7,nitrogen,14.003074,99.632
N,15.0,7,nitrogen,15.0001089,0.368
N,16.0,7,nitrogen,16.00610193,
N,17.0,7,nitrogen,17.00844887,
N,18.0,7,nitrogen,18.01407757,
N,19.0,7,nitrogen,19.0170216,
N,20.0,7,nitrogen,20.02336581,
N,21.0,7,nitrogen,21.02710824,
N,22.0,7,nitrogen,22.03439493,
O,12.0,8,oxygen,12.03426184,
O,13.0,8,oxygen,13.02481545,
O,14.0,8,oxygen,14.00859636,
O,15.0,8,oxygen,15.00306562,
O,16.0,8,oxygen,15.99491462,99.757
O,17.0,8,oxygen,16.99913176,0.038
O,18.0,8,oxygen,17.99915961,0.205
O,19.0,8,oxygen,19.00357797,
O,20.0,8,oxygen,20.00407535,
O,21.0,8,oxygen,21.00865481,
O,22.0,8,oxygen,22.00996606,
O,23.0,8,oxygen,23.01569592,
O,24.0,8,oxygen,24.019861,
O,25.0,8,oxygen,25.02935899,
O,26.0,8,oxygen,26.03728745,
F,14.0,9,fluorine,14.03431521,
F,15.0,9,fluorine,15.01804285,
F,16.0,9,fluorine,16.01146573,
F,17.0,9,fluorine,17.00209524,
F,18.0,9,fluorine,18.00093733,
F,19.0,9,fluorine,18.99840316,100.0
F,20.0,9,fluorine,19.99998125,
F,21.0,9,fluorine,20.99994889,
F,22.0,9,fluorine,22.00299881,
F,23.0,9,fluorine,23.0035567,
F,24.0,9,fluorine,24.00811549,
F,25.0,9,fluorine,25.01219923,
F,26.0,9,fluorine,26.02003777,
F,27.0,9,fluorine,27.026441,
F,28.0,9,fluorine,28.0353421,
Ne,16.0,10,neon,16.0257502,
Ne,17.0,10,neon,17.01771396,
Ne,18.0,10,neon,18.0057087,
Ne,19.0,10,neon,19.00188091,
Ne,20.0,10,neon,19.99244018,90.48
Ne,21.0,10,neon,20.99384669,0.27
Ne,22.0,10,neon,21.99138511,9.25
Ne,23.0,10,neon,22.99446691,
Ne,24.0,10,neon,23.99361065,
Ne,25.0,10,neon,24.99778871,
Ne,26.0,10,neon,26.00051471,
Ne,27.0,10,neon,27.00755327,
Ne,28.0,10,neon,28.012122,
Ne,29.0,10,neon,29.019753,
Ne,30.0,10,neon,30.024734,
Ne,31.0,10,neon,31.033087,
Na,18.0,11,sodium,18.02687825,
Na,19.0,11,sodium,19.01388027,
Na,20.0,11,sodium,20.00735443,
Na,21.0,11,sodium,20.9976547,
Na,22.0,11,sodium,21.99443741,0.0
Na,23.0,11,sodium,22.98976928,100.0
Na,24.0,11,sodium,23.99096295,
Na,25.0,11,sodium,24.98995397,
Na,26.0,11,sodium,25.99263465,
Na,27.0,11,sodium,26.99407653,
Na,28.0,11,sodium,27.998939,
Na,29.0,11,sodium,29.00287707,
Na,30.0,11,sodium,30.00909793,
Na,31.0,11,sodium,31.01316266,
Na,32.0,11,sodium,32.020193,
Mg,19.0,12,magnesium,19.03416919,
Mg,20.0,12,magnesium,20.01885,
Mg,21.0,12,magnesium,21.01171614,
Mg,22.0,12,magnesium,21.99957065,
Mg,23.0,12,magnesium,22.99412421,
Mg,24.0,12,magnesium,23.9850417,78.99
Mg,25.0,12,magnesium,24.98583698,10.0
Mg,26.0,12,magnesium,25.98259297,11.01
Mg,27.0,12,magnesium,26.98434062,
Mg,28.0,12,magnesium,27.98387673,
Mg,29.0,12,magnesium,28.98861739,
Mg,30.0,12,magnesium,29.99046293,
Mg,31.0,12,magnesium,30.99664803,
Mg,32.0,12,magnesium,31.99911024,
Mg,33.0,12,magnesium,33.00532715,
Mg,34.0,12,magnesium,34.00893548,
Mg,35.0,12,magnesium,35.01679,
Mg,36.0,12,magnesium,36.021879,
Al,23.0,13,aluminium,23.00724435,
Al,24.0,13,aluminium,23.99994888,
Al,25.0,13,aluminium,24.9904281,
Al,26.0,13,aluminium,25.9868919,
Al,27.0,13,aluminium,26.98153853,100.0
Al,28.0,13,aluminium,27.98191021,
Al,29.0,13,aluminium,28.98045649,
Al,30.0,13,aluminium,29.98296022,
Al,31.0,13,aluminium,30.98394517,
Al,32.0,13,aluminium,31.98808524,
Al,33.0,13,aluminium,32.99090898,
Al,34.0,13,aluminium,33.9967054,
Al,35.0,13,aluminium,34.999764,
Al,36.0,13,aluminium,36.006388,
Al,37.0,13,aluminium,37.010531,
Al,38.0,13,aluminium,38.017402,
Si,24.0,14,silicon,24.01153454,
Si,25.0,14,silicon,25.00410881,
Si,26.0,14,silicon,25.99233385,
Si,27.0,14,silicon,26.98670481,
Si,28.0,14,silicon,27.97692653,92.2297
Si,29.0,14,silicon,28.97649466,4.6832
Si,30.0,14,silicon,29.97377014,3.0872
Si,31.0,14,silicon,30.97536319,
Si,32.0,14,silicon,31.97415154,
Si,33.0,14,silicon,32.97797696,
Si,34.0,14,silicon,33.97857557,
Si,35.0,14,silicon,34.98458348,
Si,36.0,14,silicon,35.98669522,
Si,37.0,14,silicon,36.99292074,
Si,38.0,14,silicon,37.995523,
Si,39.0,14,silicon,39.002491,
Si,40.0,14,silicon,40.005829,
Si,41.0,14,silicon,41.013011,
P,27.0,15,phosphorus,26.99922441,
P,28.0,15,phosphorus,27.99232659,
P,29.0,15,phosphorus,28.98180079,
P,30.0,15,phosphorus,29.97831375,
P,31.0,15,phosphorus,30.973762,100.0
P,32.0,15,phosphorus,31.97390764,
P,33.0,15,phosphorus,32.97172569,
P,34.0,15,phosphorus,33.97364589,
P,35.0,15,phosphorus,34.97331406,
P,36.0,15,phosphorus,35.97825963,
P,37.0,15,phosphorus,36.97960684,
P,38.0,15,phosphorus,37.98425158,
P,39.0,15,phosphorus,38.98622721,
P,40.0,15,phosphorus,39.99133175,
P,41.0,15,phosphorus,40.994654,
P,42.0,15,phosphorus,42.001084,
P,43.0,15,phosphorus,43.005024,
S,28.0,16,sulfur,28.00437277,
S,29.0,16,sulfur,28.99661146,
S,30.0,16,sulfur,29.98490703,
S,31.0,16,sulfur,30.97955701,
S,32.0,16,sulfur,31.97207117,94.93
S,33.0,16,sulfur,32.97145891,0.76
S,34.0,16,sulfur,33.967867,4.29
S,35.0,16,sulfur,34.96903231,
S,36.0,16,sulfur,35.96708071,0.02
S,37.0,16,sulfur,36.97112551,
S,38.0,16,sulfur,37.97116333,
S,39.0,16,sulfur,38.9751342,
S,40.0,16,sulfur,39.97548256,
S,41.0,16,sulfur,40.97959345,
S,42.0,16,sulfur,41.9810651,
S,43.0,16,sulfur,42.98690764,
S,44.0,16,sulfur,43.99011885,
S,45.0,16,sulfur,44.995717,
Cl,31.0,17,chlorine,30.9924142,
Cl,32.0,17,chlorine,31.98568464,
Cl,33.0,17,chlorine,32.97745199,
Cl,34.0,17,chlorine,33.97376249,
Cl,35.0,17,chlorine,34.96885268,75.78
Cl,36.0,17,chlorine,35.96830681,0.0
Cl,37.0,17,chlorine,36.9659026,24.22
Cl,38.0,17,chlorine,37.96801044,
Cl,39.0,17,chlorine,38.96800818,
Cl,40.0,17,chlorine,39.97041547,
Cl,41.0,17,chlorine,40.97068453,
Cl,42.0,17,chlorine,41.9732548,
Cl,43.0,17,chlorine,42.97388858,
Cl,44.0,17,chlorine,43.97787454,
Cl,45.0,17,chlorine,44.98029,
Cl,46.0,17,chlorine,45.985174,
Ar,32.0,18,argon,31.99763783,
Ar,33.0,18,argon,32.98992555,
Ar,34.0,18,argon,33.98027009,
Ar,35.0,18,argon,34.97525759,
Ar,36.0,18,argon,35.96754511,0.3365
Ar,37.0,18,argon,36.96677633,
Ar,38.0,18,argon,37.96273211,0.0632
Ar,39.0,18,argon,38.96431304,0.0
Ar,40.0,18,argon,39.96238312,99.6003
Ar,41.0,18,argon,40.96450057,
Ar,42.0,18,argon,41.96304574,
Ar,43.0,18,argon,42.96563606,
Ar,44.0,18,argon,43.96492382,
Ar,45.0,18,argon,44.96803973,
Ar,46.0,18,argon,45.96808271,
Ar,47.0,18,argon,46.97293487,
K,35.0,19,potassium,34.98800541,
K,36.0,19,potassium,35.98130201,
K,37.0,19,potassium,36.97337589,
K,38.0,19,potassium,37.96908112,
K,39.0,19,potassium,38.96370649,93.2581
K,40.0,19,potassium,39.96399817,0.0117
K,41.0,19,potassium,40.96182526,6.7302
K,42.0,19,potassium,41.96240231,
K,43.0,19,potassium,42.9607347,
K,44.0,19,potassium,43.96158699,
K,45.0,19,potassium,44.96069149,
K,46.0,19,potassium,45.96198159,
K,47.0,19,potassium,46.96166161,
K,48.0,19,potassium,47.96534119,
K,49.0,19,potassium,48.96821076,
K,50.0,19,potassium,49.97238002,
K,51.0,19,potassium,50.97582804,
Ca,36.0,20,calcium,35.9930744,
Ca,37.0,20,calcium,36.98589785,
Ca,38.0,20,calcium,37.97631922,
Ca,39.0,20,calcium,38.97071081,
Ca,40.0,20,calcium,39.96259086,96.941
Ca,41.0,20,calcium,40.96227792,0.0
Ca,42.0,20,calcium,41.95861783,0.647
Ca,43.0,20,calcium,42.95876644,0.135
Ca,44.0,20,calcium,43.95548156,2.086
Ca,45.0,20,calcium,44.95618635,
Ca,46.0,20,calcium,45.95368902,0.004
Ca,47.0,20,calcium,46.95454243,
Ca,48.0,20,calcium,47.95252277,0.187
Ca,49.0,20,calcium,48.95566274,
Ca,50.0,20,calcium,49.95749922,
Ca,51.0,20,calcium,50.96098898,
Ca,52.0,20,calcium,51.96321715,
Sc,39.0,21,scandium,38.98478497,
Sc,40.0,21,scandium,39.97796729,
Sc,41.0,21,scandium,40.96925111,
Sc,42.0,21,scandium,41.96551653,
Sc,43.0,21,scandium,42.96115047,
