,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
0,n,0,1,0,636.0,-0.5,-9.662364884650948e-27,
1,H,1,1,0,inf,-0.5,1.410606781866751e-26,
5,H,1,2,0.0,inf,1.0,4.33073508549125e-27,4.58222475282e-50
11,Li,3,6,0.0,inf,1.0,4.154607994935333e-27,-1.2913542485219998e-50
17,Li,3,7,0.0,inf,-1.5,1.6447687711404789e-26,-6.408705948000001e-49
29,Li,3,8,0.0,0.842,2.0,8.351773893318439e-27,5.0308341691799995e-49
36,Li,3,9,0.0,0.178,-1.5,1.7344391222366002e-26,-4.87061652048e-49
42,Li,3,11,0.0,0.0085,-1.5,1.8526274607932002e-26,-5.3352477017100005e-49
50,Be,4,9,0.0,inf,-1.5,-5.94724729773551e-27,8.47551361623e-49
57,B,5,8,0.0,0.77,2.0,5.23155124758721e-27,1.030199481141e-48
63,B,5,10,0.0,inf,3.0,9.094667302513442e-27,1.3538391315150001e-48
67,B,5,11,0.0,inf,-1.5,1.3579784036454282e-26,6.5032343607330006e-49
73,B,5,12,0.0,0.020399999999999998,1.0,5.050783699e-27,2.1148729628399998e-49
77,B,5,13,0.0,0.0174,-1.5,1.60503804386822e-26,5.8479441775499995e-49
81,B,5,14,0.0,0.013800000000000002,-2.0,5.9851786833150004e-27,4.75846416639e-49
84,B,5,15,0.0,0.0103,-1.5,1.3430033855641e-26,6.07224888573e-49
87,B,5,17,0.0,0.0050999999999999995,-1.5,1.287949843245e-26,6.16837947495e-49
92,C,6,11,0.0,1224.0,-1.5,-4.868955485836e-27,5.3352477017100005e-49
94,C,6,12,4438,4.5000000000000004e-14,2.0,-4.868955485836e-27,9.613058922e-49
95,C,6,13,0,inf,-0.5,3.5477300694252485e-27,9.613058922e-49
105,N,7,12,0.0,0.011,1.0,2.3097233855527e-27,1.6021764870000003e-48
111,N,7,14,0.0,inf,1.0,2.039309477091939e-27,3.274848739428e-49
121,N,7,16,0.0,7.13,-2.0,1.00303513478441e-26,-2.8839176766e-49
130,N,7,18,0.0,0.624,-1.0,1.6561519749021e-27,4.3258765149e-49
134,O,8,13,0.0,8..6 ms,-1.5,7.0160436362809e-27,1.77841590057e-49
142,O,8,17,0.0,inf,-2.5,-9.56512366132921e-27,-4.10157180672e-49
154,O,8,19,0.0,27.0,-2.5,7.73754808768305e-27,5.79987888294e-50
166,F,9,18,0.0,1.53e-07,5.0,1.4445241379139998e-26,1.1375453057699998e-48
170,F,9,19,0.0,8.85e-08,-2.5,1.8157567397905e-26,1.509250250754e-48
174,F,9,20,0.0,11.0,2.0,1.05738156738565e-26,8.972188327200001e-49
177,F,9,21,0.0,4.16,-2.5,1.984957993707e-26,1.7623941357e-48
179,F,9,22,0.0,4.2,4.0,1.36088315985856e-26,4.806529461e-50
186,Ne,10,20,0.0,6.999999999999999e-13,2.0,5.45484639492e-27,-3.6850059201e-48
192,Ne,10,21,0.0,inf,-1.5,-3.342593499647103e-27,1.6342200167399996e-48
204,Ne,10,23,0.0,37.6,-2.5,-5.45484639492e-27,2.3231559061499997e-48
207,Na,11,20,0.0,0.446,2.0,1.8657594984106002e-27,1.61819825187e-48
212,Na,11,21,0.0,22.5,-1.5,1.20526851409237e-26,2.21100355206e-48
218,Na,11,22,0.0,82049760.0,3.0,8.818668338454e-27,2.8839176765999994e-48
225,Na,11,23,0.0,inf,-1.5,1.1200898754476064e-26,1.66626354648e-48
234,Na,11,25,0.0,60.0,-2.5,1.8602036363417e-26,2.4032647305e-50
238,Na,11,26,0.0,1.07,3.0,1.4399784325849e-26,-8.4915353811e-50
241,Na,11,27,0.0,0.29,-2.5,1.9672802507605e-26,-1.1375453057700001e-49
246,Na,11,28,0.0,0.0305,1.0,1.2253201253774e-26,6.2324665344299995e-49
251,Na,11,29,0.0,0.043000000000000003,-1.5,1.2369369278850999e-26,1.3618500139500001e-48
258,Mg,12,23,0.0,11.3,-1.5,2.7092403761436e-27,1.82648119518e-48
261,Mg,12,24,0.0,1.4499999999999999e-12,2.0,5.15179937298e-27,-4.6463118122999993e-48
269,Mg,12,25,0.0,inf,-2.5,-4.3206929153095504e-27,3.1883312091300005e-48
272,Mg,12,26,0.0,4.76e-13,2.0,5.050783699e-27,-3.3645706227e-48
281,Al,13,23,0.0,37.2,-2.5,1.9642497805410998e-26,2.5634823792000003e-48
284,Al,13,25,0.0,7.18,-2.5,1.84126319747045e-26,3.8452235688e-48
289,Al,13,27,0.0,inf,-2.5,1.8392463690316024e-26,2.348790729942e-48
293,Al,13,28,0.0,134.4,3.0,1.6374640752158002e-26,2.7557435576399996e-48
299,Al,13,31,0.0,0.644,-2.5,1.914247021921e-26,2.2430470818e-48
303,Al,13,32,0.0,0.033,1.0,9.894485266341e-27,4.005441217500001e-49
306,Al,13,33,0.0,0.044,-2.5,2.0647603761512e-26,2.1148729628400002e-48
311,Si,14,27,0.0,4.1,-2.5,-4.320440376124601e-27,1.0093711868099999e-48
315,Si,14,28,0.0,4.899999999999999e-13,2.0,5.5558620689e-27,2.5634823792000003e-48
320,Si,14,30,0.0,2.5e-13,2.0,4.0406269592e-27,-8.010882435000001e-49
336,S,16,32,0.0,1.6e-13,2.0,4.5457053291e-27,-2.5634823792000003e-48
343,S,16,33,0.0,inf,-1.5,3.2518016220306185e-27,-1.086275658186e-48
348,S,16,34,0.0,3.2e-13,2.0,5.050783699e-27,6.408705948000001e-49
