nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
0 n 1,,0,10.6 m,,1/2+,-1.9130427(5) d,,,R
1 H 1,,0,stable,,1/2+,+2.79284734(3) d,,,R
antiproton,,0,-,,1/2+,-2.7862(83),,,
1 H 2,,0,stable,,1+,+0.857438228(9) d,,,
,,,,,,+0.857438240(12) d,,,
,,,,,,,,+0.00286(2),R
,,,,,,,,0.0028(2),
1 H 3,,0,12.33 y,,1/2+,+2.97896244(4),,,
2 He 3,,0,stable,,1/2+,-2.12749772(3),,,
3 Li 6,,0,stable,,1+,+0.8220473(6),,,
,,,,,,+0.822567(3),,,
,,,,,,,,-0.000806(6),R
,,,,,,,,-0.00082(2) a,
,,,,,,,,-0.00083(8) st,
3 Li 7,,0,stable,,3/2-,+3.256427(2),,,
,,,,,,+3.2564625(4),,,
,,,,,,,,-0.0403(4),
,,,,,,,,-0.0400(3),R
,,,,,,,,-0.0406(8) a,
,,,,,,,,-0.0406 st,
,,,,,,,,-0.0370(8),
,,,,,,,,-0.041(6),
,,,,,,,,-0.059(8),
,,,,,,,,-0.040(11),
,,,,,,,,-0.0400(6),
,,,,,,,,-0.0400(3),
,,,,,,,,-0.0406(8),
3 Li 8,,0,842 ms,,2+,+1.65356(2),,,
,,,,,,,,0.0326(5),
,,,,,,,,0.0314(2),R
,,,,,,,,0.0317(4),
,,,,,,,,0.0287(7),
,,,,,,,,0.0327(6),
3 Li 9,,0,178 ms,,3/2-,3.43678(6),,,
,,,,,,3.4391(6),,,
,,,,,,3.434(5),,,
,,,,,,,,-0.0304(2),R
,,,,,,,,-0.0306(2),
,,,,,,,,0.0253(9),
,,,,,,,,0.036(7) st,
3 Li 11,,0,8.5 ms,,3/2-,+3.6712(3),,,
,,,,,,3.668(3),,,
,,,,,,,,-0.0333(5),R
,,,,,,,,-0.035(5),
,,,,,,,,-0.031(5),
4 Be 7,,0,53.3 d,,3/2-,-1.39928(2),,,
,,,,,,-1.398(15),,,
4 Be 9,,0,stable,,3/2-,-1.177432(3) d,,,
,,,,,,-1.1778(9),,,
,,,,,,-1.17749(2),,,
,,,,,,,,+0.0529(4),R
,,,,,,,,+0.053(3) st,
4 Be 10,,3368,0.14 ps,,2+,,,-0.08(7),
4 Be 11,,0,13. 8 s,,3/2-,-1.6814(13),,,
,,,,,,-1.6816(8),,,
5 B 8,,0,0.77 s,,2+,1.0355(3),,,
,,,,,,"1.03579(5) d",,,
,,,,,,,,+0.0643(14),R
,,,,,,,,+0.0645(14),
,,,,,,,,0.063(5),
,,,,,,,,0.068(2),
,,,,,,,,0.0646(15),
5 B 10,,0,stable,,3+,+1.80064478(6),,,
,,,,,,,,+0.0845(2),R
,,,,,,,,+0.0847(6) st,
,,718,0.69 ns,,1+,+0.63(12),,,
5 B 11,,0,stable,,3/2-,+2.6886489(10),,,
,,,,,,,,+0.04059(10),R
,,,,,,,,+0.0407(3),
5 B 12,,0,20.4 ms,,1+,+1.00(2),,,
,,,,,,+1.00272(11),,,
,,,,,,+1.00306(+15/-14),,,
,,,,,,1.000(3),,,
,,,,,,,,0.0132(3),R
,,,,,,,,0.0134(14) st,
5 B 13,,0,17.4 ms,,3/2-,"+3.1778(5) K,d",,,
,,,,,,+3.1778(5),,,
,,,,,,,,+0.0365(8),R
,,,,,,,,+0.0366(8),
,,,,,,,,0.369(10),
5 B 14,,0,13.8 ms,,2-,1.185(5),,,
,,,,,,,,0.0297(8),R
,,,,,,,,0.0298(8),
5 B 15,,0,10.3 ms,,3/2-,2.659(15),,,
,,,,,,,,0.0379(11),R
,,,,,,,,0.0380(11),
5 B 17,,0,5.1 ms,,(3/2-),2.55(2),,,
,,,,,,,,0.0385(15),R
,,,,,,,,0.0386(15),
6 C 9,,0,126 ms,,3/2-,1.3914(5),,,
,,,,,,1.396(3),,,
6 C 11,,0,20.4 m,,3/2-,-0.964(1),,,
,,,,,,,,0.0333(2),R
,,,,,,,,0.032(2) st,
6 C 12,,4438,45 fs,,2+,,,+0.06(3),R
6 C 13,,0,stable,,1/2-,+0.7024118(14),,,R
,,3854,8.5 ps,,5/2+,1.40(4),,,
6 C 14,,6728,67 ps,,3-,0.82(2),,,
6 C 15,,0,2.45 s,,1/2+,1.720(9),,,
,,,,,,1.32(7),,,
,,739,2.61 ns,,5/2+,1.76(3),,,
,,,,,,-1.92(15),,,
6 C 17,,0,193 ms,,(3/2+),0.758(4),,,
7 N 12,,0,11.0 ms,,1+,0.4571(1),,,
,,,,,,0.4573(5),,,
,,,,,,,,+0.100(9),R
,,,,,,,,+0.0098(9),
,,,,,,,,+0.049(6) or -0.010(6),
,,,,,,,,0.0103(7),
7 N 13,,0,9.96 m,,1/2-,0.3222(4),,,
